01_Posttype	02_by_Andersen	03_genre	04_main_title	05_original_title	06_creator	07_part_of	08_Se_ogsaa	09_Krydshenvisning_til	10_cited_directly	11_Note	RegistryTitelID
standardpost	False	NovelsPlaysTales	Matrosens Bryllup		Fr. Chamier	Ben Brace			True		Reg002347
inferred_container	False	NovelsPlaysTales	Ben Brace		Fr. Chamier				False		
standardpost	False	NovelsPlaysTales	Meister Floh		E. Th. A. Hoffmann				True		Reg002367
standardpost	False	NovelsPlaysTales	Memoiren eines bleiernen Soldaten für Knaben von 8-10 Jahren		Amalie Winter				True		Reg002373
standardpost	False	NovelsPlaysTales	Midlothians Hjerte		W. Scott				True		Reg002389
standardpost	False	NovelsPlaysTales	Min første Drøm i Rom		Vilhelm Bergsøe				True		Reg002397
standardpost	False	NovelsPlaysTales	Miss Shum's Husband		W. M. Thackeray				True		Reg002413
standardpost	False	NovelsPlaysTales	Naomi und Christian, oder: Der arme Geiger		Gustav Nieritz				True		Reg002467
standardpost	False	NovelsPlaysTales	Nat og Morgen	Night and Morning	Edward Bulwer				True		Reg002477
standardpost	False	NovelsPlaysTales	Nicholas Nickleby		Charles Dickens				True		Reg002505
standardpost	False	NovelsPlaysTales	Norske Folkeeventyr		P. C. Asbjørnsen og Jørgen Moe				True		Reg002531
standardpost	False	NovelsPlaysTales	Notre-Dame de Paris		V. Hugo				True		Reg002532
standardpost	False	NovelsPlaysTales	Das Novellenbuch		Eduard von Bülow				True		Reg000605
standardpost	False	NovelsPlaysTales	Noveller		St. St. Blicher				True		Reg002533
standardpost	False	NovelsPlaysTales	Den nysgjerrige Kone		Madame Leprince de Beaumont				True		Reg000744
standardpost	False	NovelsPlaysTales	Otte nyere Forelæsninger		Erik Bøgh				True		Reg002633
standardpost	False	NovelsPlaysTales	Et overflødigt Menneskes Dagbog		I. Turgenjev				True		Reg001220
standardpost	False	NovelsPlaysTales	En Pennetegning. Af Calma		Axelline Lund, Ill. Tidende 30.8.1874, Tillæg				True		Reg001109
standardpost	False	NovelsPlaysTales	Pietro Mancino, der Bandit		K. E. R. Belani				True		Reg002688
standardpost	False	NovelsPlaysTales	Poetiske Naturer		Thomas Lange				True		Reg002706
standardpost	False	NovelsPlaysTales	Prinds Otto af Danmark		B. S. Ingemann				True		Reg002732
standardpost	False	NovelsPlaysTales	I promessi sposi		A. Manzoni				True		Reg001705
standardpost	False	NovelsPlaysTales	En Præsts Hemmelighed		Efter det Franske, Aftenlæsning 1871				True		Reg001110
standardpost	False	NovelsPlaysTales	Den Pukkelryggede		Efter M. S. Schwartz				True		Reg000680
standardpost	False	NovelsPlaysTales	Quits		Baronesse Jemina Tautphoeus				True		Reg002758
standardpost	False	NovelsPlaysTales	Der Rabbi von Bacharach		H. Heine				True		Reg000800
standardpost	False	NovelsPlaysTales	Rachel Gray		Julia Kavanagh				True		Reg002766
standardpost	False	NovelsPlaysTales	Ravnen		M. Goldschmidt				True		Reg002775
standardpost	False	NovelsPlaysTales	Robert Fulton		C. Hauch				True		Reg002815
standardpost	False	NovelsPlaysTales	Roderick Random		Tobias Smollett				True		Reg002819
standardpost	False	NovelsPlaysTales	Romantiske Skildringer		Thomas Lange				True		Reg002842
standardpost	False	NovelsPlaysTales	Rudin		I. Turgenjev				True		Reg002859
standardpost	False	NovelsPlaysTales	Røde Robin		W. Scott				True		Reg002863
standardpost	False	NovelsPlaysTales	Sanct Ronans Brønd		W. Scott				True		Reg002934
standardpost	False	NovelsPlaysTales	Sarons Rose		Sigurd Müller	Tre Fortællinger			True		Reg002959
inferred_container	False	NovelsPlaysTales	Tre Fortællinger		Sigurd Müller				False		
standardpost	False	NovelsPlaysTales	Das Schatzkästlein des Gevattersmanns		B. Auerbach				True		Reg000607
standardpost	False	NovelsPlaysTales	Schwarzwälder Dorfgeschichten		Berthold Auerbach				True		Reg002971
standardpost	False	NovelsPlaysTales	Die Serapionsbrüder		E. Th. A. Hoffmann				True		Reg000914
standardpost	False	NovelsPlaysTales	De sidste Herrer af Gervansborg		B. S. Ingemann				True		Reg000650
standardpost	False	NovelsPlaysTales	Siegfried von Lindenburg		J. G. Müller von Itzehoe				True		Reg002991
standardpost	False	NovelsPlaysTales	Sir Launcelot Greaves og hans Venners, Søemandens og Advokatens, Tildragelser		Tobias Smollett				True		Reg003001
standardpost	False	NovelsPlaysTales	Sjöjungfruns sagor		W. Bäckman				True		Reg003010
standardpost	False	NovelsPlaysTales	Skizzer fra Krigen		M. Gjørup				True		Reg003023
krydshenvisning	False	NovelsPlaysTales	Skjenkestuen					Erindringer fra min Onkels Huus	True		Reg003024
standardpost	False	NovelsPlaysTales	Slottet ved Rhinen		C. Hauch				True		Reg003039
standardpost	False	NovelsPlaysTales	Smaahistorier 2. Samling		L. Budde				True	1875	Reg003044
standardpost	False	NovelsPlaysTales	Stedmoder og Steddatter		Athalia Schwartz				True		Reg003100
standardpost	False	NovelsPlaysTales	Studie en uitspanning		J. J. D. Nepveu				True		Reg003124
standardpost	False	NovelsPlaysTales	Svalerne og Blodiglerne	De muschjes en de bloedzuigers	Johannes Kneppelhout				True		Reg003137
standardpost	False	NovelsPlaysTales	Svenskerne paa Kronborg		H. F. Ewald				True		Reg003143
standardpost	False	NovelsPlaysTales	Syskonlif		Fredrika Bremer				True		Reg003155
standardpost	False	NovelsPlaysTales	Syv Aar. Et Bidrag til et nordisk Riges hemmelige Hof-Historie		L. Kruse				True		Reg003156
standardpost	False	NovelsPlaysTales	Søerøveren		W. Scott				True		Reg003165
standardpost	False	NovelsPlaysTales	Den tavse Mand		Johanne Schjørring	Fortællinger og Skizzer			True		Reg000761
inferred_container	False	NovelsPlaysTales	Fortællinger og Skizzer		Johanne Schjørring				False		
standardpost	False	NovelsPlaysTales	Telse		St. St. Blicher				True		Reg003195
standardpost	False	NovelsPlaysTales	Til Maalet		Thorald Læssøe				True		Reg003259
standardpost	False	NovelsPlaysTales	To Fortællinger af I		Cornelia von Levetzow				True		Reg003281
standardpost	False	NovelsPlaysTales	De to Jernringe		A. Oehlenschlæger				True		Reg000657
standardpost	False	NovelsPlaysTales	Tom Jones		Henry Fielding				True		Reg003290
krydshenvisning	False	NovelsPlaysTales	En Tour i mit Værelse					Voyage autour de ma chambre	True		Reg001127
standardpost	False	NovelsPlaysTales	Tremasteren Fremtiden		Jonas Lie				True		Reg003317
standardpost	False	NovelsPlaysTales	Triumf		Henriette Brandis				True		Reg003322
standardpost	False	NovelsPlaysTales	Les Trois mousquetaires		A. Dumas père				True		Reg002135
standardpost	False	NovelsPlaysTales	Trolldomstecknet		Sofie Bolander				True		Reg003324
standardpost	False	NovelsPlaysTales	Tropmanns sidste Nat		l. Turgenjev				True		Reg003326
standardpost	False	NovelsPlaysTales	Der Troubadur		E. G. von Brunnow				True		Reg000816
standardpost	False	NovelsPlaysTales	Tusind og een Nat						True		Reg003335
krydshenvisning	False	NovelsPlaysTales	Tømmerpladsen					Erindringer fra min Onkels Huus	True		Reg003353
standardpost	False	NovelsPlaysTales	Undine		Fr. de la Motte Fouqué				True		Reg003379
standardpost	False	NovelsPlaysTales	En ung Piges Historie		Cornelia von Levetzow				True		Reg001142
standardpost	False	NovelsPlaysTales	En ungdommelig Historie		L. Budde				True		Reg001144
standardpost	False	NovelsPlaysTales	Die unsichtbare Loge		Jean Paul				True		Reg000932
standardpost	False	NovelsPlaysTales	Ved Nytaarstid i Nøddebo Præstegaard		H. Scharling				True		Reg003414
standardpost	False	NovelsPlaysTales	Veronicas Sorg		Axelline Lund				True		Reg003446
standardpost	False	NovelsPlaysTales	The Vicar of Wakefield		Oliver Goldsmith				True		Reg003230
standardpost	False	NovelsPlaysTales	Village Tales from the Black Forests		Berthold Auerbach		Schwarzwälder Dorfgeschichten		True		Reg003455
standardpost	False	NovelsPlaysTales	Visioner		I. Turgenjev				True		Reg003464
standardpost	False	NovelsPlaysTales	Voyage autour de ma chambre		Xavier de Maistre				True		Reg003471
standardpost	False	NovelsPlaysTales	Waldeinsamkeit		Carl Alexander af Sachsen-Weimar-Eisenach				True		Reg003478
standardpost	False	NovelsPlaysTales	Wallensteins erste Liebe		Karl Herloszsohn				True		Reg003484
standardpost	False	NovelsPlaysTales	Weltglück		Therese von Bacheracht				True		Reg003493
standardpost	False	NovelsPlaysTales	Wiener Lebensbilder		I. F. Castelli				True		Reg003501
standardpost	False	NovelsPlaysTales	Wilhelm Meisters Lehrjahre		J. W. von Goethe				True		Reg003503
standardpost	False	NovelsPlaysTales	Wundersame Liebesgeschichte der schönen Magelone und des Grafen Peter aus der Provence		L. Tieck				True		Reg003515
standardpost	False	NovelsPlaysTales	Zanoni		Edward Bulwer				True		Reg003519
standardpost	False	NovelsPlaysTales	Zitta, Domkirkens Datter		O. C. Lund				True		Reg003529
standardpost	False	NovelsPlaysTales	Øen i Sydhavet		A. Oehlenschlæger				True		Reg003697
